index,items,freq
0,the,230968
1,be,213678
2,"be,the",142843
3,what,122679
4,to,121090
5,of,117370
6,in,97847
7,"of,the",97624
8,"what,be",97543
9,a,96524
10,"what,the",85227
11,"to,be",78059
12,"what,be,the",76170
13,"to,the",69393
14,"of,be",68588
15,"in,the",66152
16,for,65507
17,and,65187
18,"of,be,the",59194
19,"a,be",56402
20,"in,be",55665
21,"a,the",51064
22,"for,be",50479
23,"to,be,the",47204
24,"to,what",45944
25,"and,the",43007
26,"for,the",42648
27,can,42012
28,"in,be,the",40476
29,"of,what",38989
30,"a,to",37344
31,that,35427
32,"to,what,be",35259
33,"and,be",35084
34,"of,what,the",34847
35,"for,be,the",34217
36,"of,what,be",34109
37,'s,33889
38,"a,of",33580
39,"in,of",33129
40,have,33113
41,"a,be,the",33030
42,"of,what,be,the",31496
43,you,31469
44,on,31357
45,do,31250
46,"in,what",30169
47,"for,what",30048
48,"of,to",29589
49,"in,of,the",28478
50,"in,to",28267
51,"a,in",27859
52,"for,what,be",27824
53,"to,what,the",27729
54,"a,what",27549
55,it,27192
56,"a,to,be",25323
57,from,24960
58,"a,of,the",24795
59,"to,what,be,the",24607
60,"for,what,the",24595
61,"and,be,the",24451
62,"of,to,the",24308
63,"and,of",24241
64,"that,be",24199
65,"for,what,be,the",23581
66,"that,the",23416
67,by,23381
68,"in,what,be",23114
69,with,22712
70,"'s,the",22677
71,"it,be",22640
72,"a,what,be",22437
73,"in,what,the",22134
74,"for,to",22111
75,"for,a",21612
76,"and,to",21449
77,"on,the",20729
78,"and,of,the",20693
79,"have,the",20181
80,"a,to,the",19883
81,"and,in",19509
82,i,19359
83,"it,to",19357
84,"a,of,be",19237
85,an,19189
86,"in,what,be,the",18899
87,"in,of,be",18860
88,as,18741
89,"in,to,the",18735
90,my,18628
91,some,18544
92,which,18424
93,"by,be",18351
94,"for,to,be",18189
95,"of,to,be",18155
96,"a,what,the",18153
97,"in,to,be",18079
98,"'s,be",18048
99,"on,be",17950
100,"you,can",17760
101,"and,a",17654
102,"can,the",17587
103,"by,the",17232
104,"it,to,be",17142
105,"a,what,be,the",17001
106,"a,in,the",16854
107,how,16806
108,"in,of,be,the",16506
109,"that,be,the",16276
110,"for,a,be",16268
111,"a,in,be",15876
112,"you,the",15247
113,"for,in",15120
114,"a,of,be,the",14963
115,"of,to,be,the",14945
116,"can,be",14938
117,at,14930
118,"have,be",14608
119,"and,what",14578
120,"and,to,the",14260
121,"some,be",14248
122,"and,in,the",14185
123,"from,the",14084
124,"for,of",14074
125,most,14063
126,"a,to,be,the",14050
127,"by,be,the",13722
128,reason,13458
129,"and,of,be",13346
130,"some,what",13325
131,"some,what,be",13184
132,"'s,be,the",13169
133,"reason,be",13023
134,"reason,the",12975
135,"do,the",12967
136,"for,to,the",12940
137,"a,to,what",12861
138,"most,the",12829
139,"on,be,the",12744
140,"and,to,be",12700
141,"reason,be,the",12696
142,"can,a",12630
143,"which,be",12627
144,"reason,what",12625
145,or,12593
146,"do,what",12588
147,"with,the",12526
148,their,12509
149,"reason,what,be",12454
150,"reason,what,the",12385
151,"for,a,the",12301
152,"reason,what,be,the",12289
153,"with,be",12230
154,"that,a",12177
155,"in,to,be,the",12147
156,"can,of",12087
