index,Position,Count
0,NN,1068050
1,IN,575562
2,DT,507743
3,JJ,423269
4,NNS,304373
5,.,278256
6,VB,205065
7,VBZ,176750
8,TO,136835
9,VBN,110508
10,VBP,107824
11,VBG,102834
12,PRP,97627
13,WP,97082
14,VBD,96883
15,CC,86675
16,RB,74784
17,CD,73985
18,WDT,70665
19,PRP$,69046
20,MD,68599
21,POS,38493
22,WRB,30136
23,RBS,13482
24,JJS,11968
25,'',11944
26,``,11369
27,(,8241
28,JJR,7770
29,),7007
30,EX,6471
31,RP,6458
32,NNP,4406
33,RBR,3685
34,:,3311
35,$,2266
36,FW,1186
37,PDT,924
38,",",696
39,#,204
40,WP$,91
41,NNPS,77
42,SYM,44
43,UH,26
44,LS,3
