index,Position,Count
0,NN,1491738
1,IN,802471
2,DT,640931
3,JJ,622474
4,NNS,448529
5,.,447444
6,VB,316633
7,",",240613
8,VBZ,206327
9,RB,205344
10,CC,192349
11,VBD,189825
12,VBP,179235
13,VBN,165761
14,TO,156581
15,PRP,152645
16,CD,143735
17,VBG,120917
18,WRB,113836
19,MD,94966
20,WP,90486
21,PRP$,87568
22,WDT,70094
23,POS,38587
24,JJS,35031
25,(,30488
26,),30445
27,:,28960
28,'',25258
29,``,19914
30,JJR,18304
31,RP,16300
32,NNP,13164
33,EX,10024
34,RBS,9341
35,RBR,9089
36,FW,4225
37,$,3796
38,PDT,2582
39,WP$,793
40,#,349
41,UH,343
42,SYM,258
43,NNPS,145
44,LS,3
